rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,record_type,member_level,url,nid,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited,disabled,Country Name,GDP (current US$),GDP growth (annual %),GDP per capita (current US$),"Inflation, consumer prices (annual %)","Population, total","Unemployment, total (% of total labor force) (national estimate)",Urban population (% of total population)
1610,161,University of Bologna,57.0,1610,52.1,96,40.8,222,80.2,311,46.4,505,51.6,633,master_account,11,/world-university-rankings/university-bologna,692,Italy,"69,831",24.4,12%,56:44:00,University of Bologna,"Sport Science,Veterinary Science,Communication & Media Studies,Chemical Engineering,Other Health,History, Philosophy & Theology,Mathematics & Statistics,Business & Management,Computer Science,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Economics & Econometrics,Civil Engineering,Languages, Literature & Linguistics,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Sociology,Biological Sciences,Archaeology,Law,Art, Performing Arts & Design,Accounting & Finance,Education,Electrical & Electronic Engineering,Physics & Astronomy,Chemistry,General Engineering,Psychology,Architecture,Agriculture & Forestry,Geography",False,False,False,Italy,2250000000000.0,0.920692214,38373.16605,5.622194422,58761146.0,7.627,71.973
1620,161,Trinity College Dublin,57.0,1620,36.0,325,47.3,154,79.4,336,47.1,489,93.7,68,master_account,11,/world-university-rankings/trinity-college-dublin,582,Ireland,"17,764",21.0,28%,60:40:00,Trinity College Dublin,"Art, Performing Arts & Design,General Engineering,Sociology,Languages, Literature & Linguistics,History, Philosophy & Theology,Physics & Astronomy,Business & Management,Computer Science,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Law,Mechanical & Aerospace Engineering,Geography,Other Health,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Biological Sciences,Psychology,Medicine & Dentistry,Chemistry,Accounting & Finance,Civil Engineering,Education,Mathematics & Statistics",False,False,False,Ireland,546000000000.0,-3.19878596,103684.8808,6.299424874,5262382.0,4.288,64.466
1630,163,University of Leicester,56.9,1630,31.4,466,32.9,356,98.7,33,41.9,761,92.5,89,master_account,0,/world-university-rankings/university-leicester,662,United Kingdom,"14,650",14.1,34%,54:46:00,University of Leicester uk united kingdom leicester,"Civil Engineering,Sociology,Mechanical & Aerospace Engineering,Economics & Econometrics,Art, Performing Arts & Design,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Medicine & Dentistry,Business & Management,History, Philosophy & Theology,Mathematics & Statistics,Psychology,General Engineering,Chemistry,Agriculture & Forestry,Education,Communication & Media Studies,Chemical Engineering,Politics & International Studies (incl Development Studies),Biological Sciences,Law,Archaeology,Veterinary Science,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Computer Science,Geography,Sport Science,Other Health,Physics & Astronomy",False,False,False,United Kingdom,3340000000000.0,0.104017849,48866.60396,6.793967068,68350000.0,4.025,84.642
1640,163,Lomonosov Moscow State University,56.9,1640,81.0,18,72.9,51,9.3,1688,99.1,23,72.4,314,master_account,0,/world-university-rankings/lomonosov-moscow-state-university,753,Russian Federation,"32,625",10.0,36%,50:50:00,Lomonosov Moscow State University,"Education,History, Philosophy & Theology,Sport Science,Communication & Media Studies,Computer Science,Economics & Econometrics,Mathematics & Statistics,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Chemical Engineering,Business & Management,Chemistry,Other Health,Agriculture & Forestry,Sociology,Geography,Medicine & Dentistry,Biological Sciences,Law,Archaeology,Accounting & Finance,Electrical & Electronic Engineering,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Psychology",False,False,True,Russian Federation,2020000000000.0,3.6,13817.0459,..,143826130.0,3.076,75.331
1650,163,Pohang University of Science and Technology (POSTECH),56.9,1650,54.7,87,51.4,129,67.7,522,96.2,35,31.8,1202,master_account,0,/world-university-rankings/pohang-university-science-and-technology-postech,517,South Korea,"3,260",10.0,3%,,Pohang University of Science and Technology (POSTECH) postech,"General Engineering,Chemical Engineering,Chemistry,Business & Management,Electrical & Electronic Engineering,Computer Science,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Other Health,Biological Sciences,Physics & Astronomy,Mechanical & Aerospace Engineering",False,False,False,,,,,,,,
1660,166,Southern University of Science and Technology (SUSTech),56.8,1660,29.8,531,42.9,200,95.5,85,77.9,134,59.0,500,master_account,0,/world-university-rankings/southern-university-science-and-technology-sustech,622866,China,"5,137",8.8,1%,,Southern University of Science and Technology (SUSTech),"Economics & Econometrics,Business & Management,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Biological Sciences,Geography,Education,Electrical & Electronic Engineering,Computer Science,Art, Performing Arts & Design,Other Health,Accounting & Finance,General Engineering,Sociology,Mechanical & Aerospace Engineering,Medicine & Dentistry,Chemistry,Physics & Astronomy",False,False,False,China,17800000000000.0,5.2,12614.06099,0.234836829,1410710000.0,..,64.57
1670,166,Technical University of Denmark,56.8,1670,40.4,227,44.9,178,73.2,441,86.0,90,94.0,64,master_account,0,/world-university-rankings/technical-university-denmark,643,Denmark,"9,599",6.9,26%,32 : 68,Technical University of Denmark,"Chemical Engineering,Biological Sciences,Agriculture & Forestry,Physics & Astronomy,Other Health,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science,General Engineering,Civil Engineering,Mathematics & Statistics,Chemistry,Veterinary Science",False,False,False,Denmark,404000000000.0,1.889610386,67967.38187,3.305178112,5946952.0,5.094,88.495
1680,168,Medical University of Graz,56.6,1680,29.4,546,34.4,318,96.8,68,98.1,28,79.0,230,master_account,0,/world-university-rankings/medical-university-graz,622851,Austria,"3,722",14.1,27%,53:47:00,Medical University of Graz,"Medicine & Dentistry,Other Health",False,False,False,Austria,516000000000.0,-0.828815089,56505.96828,7.81413417,9132383.0,5.264,59.53
1690,168,"Northeastern University, US",56.6,1690,39.9,238,30.2,425,96.2,76,40.1,951,76.3,261,private,0,/world-university-rankings/northeastern-university-us,681,United States,"21,211",14.6,36%,48:52:00,"Northeastern University, US","General Engineering,History, Philosophy & Theology,Education,Sport Science,Chemical Engineering,Chemistry,Business & Management,Biological Sciences,Computer Science,Mechanical & Aerospace Engineering,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Law,Economics & Econometrics,Sociology,Civil Engineering,Physics & Astronomy,Communication & Media Studies,Other Health,Mathematics & Statistics,Geography,Architecture,Psychology,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Accounting & Finance,Veterinary Science",False,False,False,United States,27400000000000.0,2.542700299,81695.18707,4.116338384,334914895.0,3.638,83.298
1700,170,Indiana University,56.5,1700,45.5,154,39.4,249,85.5,229,53.6,342,54.3,586,public,0,/world-university-rankings/indiana-university,587,United States,"66,637",12.6,13%,53:47:00,Indiana University,"Computer Science,Mathematics & Statistics,Education,Art, Performing Arts & Design,Physics & Astronomy,Psychology,Architecture,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Civil Engineering,Economics & Econometrics,Other Health,Biological Sciences,Law,History, Philosophy & Theology,Sport Science,Geography,General Engineering,Communication & Media Studies,Accounting & Finance,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Sociology,Geology, Environmental, Earth & Marine Sciences,Agriculture & Forestry,Chemistry,Business & Management",False,False,False,United States,27400000000000.0,2.542700299,81695.18707,4.116338384,334914895.0,3.638,83.298
1710,170,Université Catholique de Louvain,56.5,1710,39.9,237,50.4,136,72.8,446,57.7,291,82.3,191,master_account,0,/world-university-rankings/universite-catholique-de-louvain,633,Belgium,"24,523",36.0,20%,54:46:00,Université Catholique de Louvain,"General Engineering,Physics & Astronomy,Business & Management,Electrical & Electronic Engineering,Chemistry,Accounting & Finance,Architecture,Agriculture & Forestry,Sociology,Other Health,Sport Science,Education,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Languages, Literature & Linguistics,Civil Engineering,Communication & Media Studies,Archaeology,Biological Sciences,Geography,Computer Science,Mathematics & Statistics,Psychology,History, Philosophy & Theology,Chemical Engineering,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Veterinary Science,Law",False,False,False,Belgium,632000000000.0,1.365055231,53475.2935,4.049010776,11822592.0,5.528,98.189
1720,170,Sungkyunkwan University (SKKU),56.5,1720,52.8,94,54.0,114,59.4,679,98.3,27,56.4,544,master_account,0,/world-university-rankings/sungkyunkwan-university-skku,805,South Korea,"23,399",19.4,18%,,Sungkyunkwan University (SKKU),"Medicine & Dentistry,Communication & Media Studies,Electrical & Electronic Engineering,Psychology,Sociology,Architecture,Agriculture & Forestry,Sport Science,Law,General Engineering,Chemistry,History, Philosophy & Theology,Chemical Engineering,Physics & Astronomy,Economics & Econometrics,Languages, Literature & Linguistics,Civil Engineering,Geography,Archaeology,Biological Sciences,Mathematics & Statistics,Business & Management,Computer Science,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Other Health,Veterinary Science,Education,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design",False,False,False,,,,,,,,
1730,173,Wuhan University,56.4,1730,43.5,179,40.5,229,89.2,164,69.4,200,35.3,1089,master_account,0,/world-university-rankings/wuhan-university,863,China,"55,412",15.2,6%,,Wuhan University,"History, Philosophy & Theology,Mathematics & Statistics,Geography,Physics & Astronomy,Medicine & Dentistry,Biological Sciences,Languages, Literature & Linguistics,Communication & Media Studies,Law,Psychology,Business & Management,Other Health,Mechanical & Aerospace Engineering,Chemical Engineering,Accounting & Finance,Civil Engineering,Archaeology,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Art, Performing Arts & Design,Veterinary Science,Architecture,Sociology,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,General Engineering,Chemistry,Computer Science",False,False,False,China,17800000000000.0,5.2,12614.06099,0.234836829,1410710000.0,..,64.57
1740,174,Ulsan National Institute of Science and Technology (UNIST),56.3,1740,41.3,211,42.0,212,85.9,221,89.9,68,43.7,844,master_account,6,/world-university-rankings/ulsan-national-institute-science-and-technology-unist,623271,South Korea,"3,896",13.6,9%,27 : 73,Ulsan National Institute of Science and Technology (UNIST),"Physics & Astronomy,Chemical Engineering,Business & Management,Computer Science,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Mathematics & Statistics,Economics & Econometrics,Accounting & Finance,Civil Engineering,Chemistry,General Engineering,Electrical & Electronic Engineering",False,False,False,,,,,,,,
1750,175,Macquarie University,56.2,1750,38.7,267,44.6,181,76.1,389,64.9,235,89.8,112,master_account,0,/world-university-rankings/macquarie-university,703,Australia,"30,561",69.0,27%,52:48:00,Macquarie University,"Agriculture & Forestry,Sport Science,Economics & Econometrics,Civil Engineering,Computer Science,Education,Law,Sociology,Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies,General Engineering,Business & Management,Physics & Astronomy,Other Health,Mechanical & Aerospace Engineering,Accounting & Finance,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Art, Performing Arts & Design,Medicine & Dentistry,Mathematics & Statistics,Biological Sciences,Chemistry,Psychology,Architecture,Geography,Archaeology,Electrical & Electronic Engineering",False,False,False,Australia,1720000000000.0,3.016988104,64711.7656,5.597014925,26638544.0,3.668,86.617
1760,176,Huazhong University of Science and Technology,56.1,1760,42.2,197,42.6,203,88.8,170,83.2,99,25.5,1445,master_account,11,/world-university-rankings/huazhong-university-science-and-technology,956,China,"57,167",16.2,4%,,Huazhong University of Science and Technology Hua Zhong University HUST Tech,"General Engineering,Law,Art, Performing Arts & Design,Architecture,Mechanical & Aerospace Engineering,Education,Other Health,History, Philosophy & Theology,Civil Engineering,Physics & Astronomy,Medicine & Dentistry,Biological Sciences,Business & Management,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Communication & Media Studies,Chemical Engineering,Sociology,Computer Science,Mathematics & Statistics,Chemistry,Languages, Literature & Linguistics,Economics & Econometrics",False,False,False,China,17800000000000.0,5.2,12614.06099,0.234836829,1410710000.0,..,64.57
1770,176,University of Liverpool,56.1,1770,33.2,402,37.7,267,89.4,160,39.6,1021,94.1,60,master_account,11,/world-university-rankings/university-liverpool,646,United Kingdom,"26,350",14.2,36%,55:45:00,University of Liverpool,"Communication & Media Studies,Medicine & Dentistry,Physics & Astronomy,Accounting & Finance,Biological Sciences,Geography,Archaeology,Architecture,Politics & International Studies (incl Development Studies),Mathematics & Statistics,Economics & Econometrics,Civil Engineering,Business & Management,Law,Computer Science,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Sociology,Psychology,Veterinary Science,Mechanical & Aerospace Engineering,Chemistry,Electrical & Electronic Engineering,Other Health,General Engineering,History, Philosophy & Theology",False,False,False,United Kingdom,3340000000000.0,0.104017849,48866.60396,6.793967068,68350000.0,4.025,84.642
1780,176,Stockholm University,56.1,1780,29.7,536,50.4,137,87.1,203,38.3,1229,66.3,387,master_account,0,/world-university-rankings/stockholm-university,596,Sweden,"30,365",20.7,7%,,Stockholm University,"History, Philosophy & Theology,Geography,Law,Education,Mathematics & Statistics,Physics & Astronomy,Biological Sciences,Chemistry,Sociology,Business & Management,Communication & Media Studies,Art, Performing Arts & Design,Computer Science,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Accounting & Finance,Politics & International Studies (incl Development Studies),Archaeology,Psychology,Economics & Econometrics,Veterinary Science",False,False,False,Sweden,593000000000.0,-0.196170995,56305.2502,8.548624897,10536632.0,7.611,88.738
1790,179,University of Mannheim,56.0,1790,40.0,235,48.2,144,79.0,344,61.0,262,57.4,521,master_account,0,/world-university-rankings/universitat-mannheim,131813,Germany,"7,684",58.2,13%,,University of Mannheim,"Economics & Econometrics,Languages, Literature & Linguistics,Business & Management,Education,Accounting & Finance,History, Philosophy & Theology,Law,Communication & Media Studies,Computer Science,Politics & International Studies (incl Development Studies),Psychology,Mathematics & Statistics,Sociology",False,False,False,Germany,4460000000000.0,-0.304934576,52745.75571,5.946436677,84482267.0,3.068,77.765
1800,180,University of Arizona,55.9,1800,45.8,150,47.0,156,78.7,348,52.1,367,41.3,931,public,0,/world-university-rankings/university-arizona,561,United States,"39,797",17.0,9%,54:46:00,University of Arizona,"Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies,Civil Engineering,Business & Management,Veterinary Science,Psychology,Sociology,Other Health,Physics & Astronomy,Accounting & Finance,Languages, Literature & Linguistics,Chemical Engineering,Computer Science,Mathematics & Statistics,Electrical & Electronic Engineering,Economics & Econometrics,Biological Sciences,Chemistry,Art, Performing Arts & Design,History, Philosophy & Theology,Geography,Agriculture & Forestry,Law,Architecture,Education,General Engineering,Sport Science,Mechanical & Aerospace Engineering,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Archaeology",False,False,False,United States,27400000000000.0,2.542700299,81695.18707,4.116338384,334914895.0,3.638,83.298
1810,181,Texas A&M University,55.8,1810,50.2,111,54.8,110,63.2,604,45.1,560,56.0,557,public,0,/world-university-rankings/texas-am-university,629,United States,"62,931",21.3,8%,47:53:00,Texas A&M University,"Computer Science,Geography,Other Health,Agriculture & Forestry,Sociology,History, Philosophy & Theology,General Engineering,Geology, Environmental, Earth & Marine Sciences,Archaeology,Chemical Engineering,Chemistry,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Veterinary Science,Physics & Astronomy,Business & Management,Art, Performing Arts & Design,Biological Sciences,Communication & Media Studies,Accounting & Finance,Medicine & Dentistry,Mathematics & Statistics,Education,Economics & Econometrics,Civil Engineering,Sport Science,Law,Architecture,Electrical & Electronic Engineering,Psychology",False,False,False,United States,27400000000000.0,2.542700299,81695.18707,4.116338384,334914895.0,3.638,83.298
1820,182,University of Barcelona,55.7,1820,33.1,403,43.4,196,89.9,152,50.2,405,59.9,479,master_account,1,/world-university-rankings/university-barcelona,667,Spain,"45,004",15.8,11%,63:37:00,University of Barcelona,"Chemistry,History, Philosophy & Theology,Accounting & Finance,Art, Performing Arts & Design,General Engineering,Sociology,Biological Sciences,Sport Science,Other Health,Mathematics & Statistics,Economics & Econometrics,Medicine & Dentistry,Business & Management,Law,Electrical & Electronic Engineering,Computer Science,Education,Communication & Media Studies,Chemical Engineering,Physics & Astronomy,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Geography,Agriculture & Forestry,Archaeology,Psychology",False,False,False,Spain,1580000000000.0,2.50329436,32676.98371,3.532361335,48373336.0,12.179,81.552
1830,183,Universitat Autònoma de Barcelona (UAB),55.6,1830,35.1,339,38.8,254,91.1,131,43.0,668,67.1,381,master_account,1,/world-university-rankings/universitat-autonoma-de-barcelona-uab,666,Spain,"31,933",12.7,16%,60:40:00,Universitat Autònoma de Barcelona (UAB) uab,"Economics & Econometrics,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science,Business & Management,Mathematics & Statistics,Veterinary Science,Politics & International Studies (incl Development Studies),Sociology,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Geography,Accounting & Finance,Sport Science,Other Health,Art, Performing Arts & Design,Physics & Astronomy,Chemical Engineering,Psychology,General Engineering,Medicine & Dentistry,Chemistry,Communication & Media Studies,Archaeology,Law,Agriculture & Forestry,Education,Biological Sciences",False,False,False,Spain,1580000000000.0,2.50329436,32676.98371,3.532361335,48373336.0,12.179,81.552
1840,183,Scuola Normale Superiore di Pisa,55.6,1840,56.7,75,36.5,288,74.8,416,38.2,1259,56.4,542,master_account,0,/world-university-rankings/scuola-normale-superiore-di-pisa,1019,Italy,629,7.6,13%,28 : 72,Scuola Normale Superiore di Pisa,"Politics & International Studies (incl Development Studies),Physics & Astronomy,Chemistry,Archaeology,Sociology,History, Philosophy & Theology,Mathematics & Statistics,Computer Science,Languages, Literature & Linguistics,Art, Performing Arts & Design",False,False,False,Italy,2250000000000.0,0.920692214,38373.16605,5.622194422,58761146.0,7.627,71.973
1850,185,University of Münster,55.5,1850,43.4,180,43.9,190,81.4,289,48.9,432,49.2,689,master_account,0,/world-university-rankings/university-munster,756,Germany,"28,014",25.4,7%,,University of Münster,"History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Archaeology,Communication & Media Studies,Sport Science,Law,Art, Performing Arts & Design,Physics & Astronomy,Accounting & Finance,Medicine & Dentistry,Politics & International Studies (incl Development Studies),Computer Science,Sociology,Biological Sciences,Psychology,Languages, Literature & Linguistics,Chemistry,Business & Management,Other Health,Geography,Mathematics & Statistics,Education",False,False,False,Germany,4460000000000.0,-0.304934576,52745.75571,5.946436677,84482267.0,3.068,77.765
1860,186,Pompeu Fabra University,55.4,1860,32.6,424,39.4,250,91.5,125,46.2,515,68.9,357,master_account,0,/world-university-rankings/pompeu-fabra-university,650,Spain,"11,965",22.4,13%,60:40:00,Pompeu Fabra University,"Languages, Literature & Linguistics,Sociology,Communication & Media Studies,Computer Science,History, Philosophy & Theology,Economics & Econometrics,Medicine & Dentistry,Biological Sciences,General Engineering,Accounting & Finance,Business & Management,Education,Politics & International Studies (incl Development Studies),Law,Art, Performing Arts & Design",False,False,False,Spain,1580000000000.0,2.50329436,32676.98371,3.532361335,48373336.0,12.179,81.552
1870,187,Cardiff University,55.2,1870,31.1,481,38.9,253,88.5,173,41.5,796,88.3,133,master_account,11,/world-university-rankings/cardiff-university,671,United Kingdom,"27,105",14.3,28%,59:41:00,Cardiff University,"Education,Accounting & Finance,Chemical Engineering,Chemistry,Psychology,Geography,Biological Sciences,Law,Other Health,Mathematics & Statistics,General Engineering,Medicine & Dentistry,Communication & Media Studies,Economics & Econometrics,Languages, Literature & Linguistics,Electrical & Electronic Engineering,History, Philosophy & Theology,Mechanical & Aerospace Engineering,Business & Management,Computer Science,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Architecture,Civil Engineering,Sociology,Art, Performing Arts & Design,Physics & Astronomy,Archaeology",False,False,False,United Kingdom,3340000000000.0,0.104017849,48866.60396,6.793967068,68350000.0,4.025,84.642
1880,187,National Taiwan University (NTU),55.2,1880,50.2,110,55.5,108,60.1,665,75.1,155,47.2,743,master_account,0,/world-university-rankings/national-taiwan-university-ntu,618,Taiwan,"25,215",11.4,11%,42:58:00,National Taiwan University (NTU),"Languages, Literature & Linguistics,Chemical Engineering,Communication & Media Studies,Civil Engineering,Archaeology,Computer Science,Geography,Veterinary Science,Physics & Astronomy,Business & Management,Medicine & Dentistry,Sport Science,Art, Performing Arts & Design,Law,Mechanical & Aerospace Engineering,Other Health,Electrical & Electronic Engineering,Economics & Econometrics,Politics & International Studies (incl Development Studies),Architecture,Mathematics & Statistics,Chemistry,Psychology,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Education,Agriculture & Forestry,Accounting & Finance,Sociology,History, Philosophy & Theology,General Engineering",False,False,False,,,,,,,,
1890,189,Friedrich Schiller University Jena,55.0,1890,42.4,195,39.9,237,81.3,291,49.7,412,62.8,443,master_account,6,/world-university-rankings/friedrich-schiller-university-jena,623586,Germany,"16,446",20.6,14%,,Friedrich Schiller University Jena,"Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Other Health,Accounting & Finance,Languages, Literature & Linguistics,Psychology,Sociology,Archaeology,Chemistry,Business & Management,Mathematics & Statistics,Art, Performing Arts & Design,Chemical Engineering,Computer Science,Physics & Astronomy,History, Philosophy & Theology,Communication & Media Studies,Education,Politics & International Studies (incl Development Studies),Sport Science,Medicine & Dentistry,Economics & Econometrics,Law,Geography,Electrical & Electronic Engineering",False,False,False,Germany,4460000000000.0,-0.304934576,52745.75571,5.946436677,84482267.0,3.068,77.765
1900,189,Karlsruhe Institute of Technology,55.0,1900,46.7,137,54.2,112,57.8,706,89.7,71,68.6,361,master_account,0,/world-university-rankings/karlsruhe-institute-technology,660,Germany,"22,673",21.6,20%,29 : 71,Karlsruhe Institute of Technology,"Economics & Econometrics,General Engineering,Communication & Media Studies,Education,Electrical & Electronic Engineering,Civil Engineering,Geography,Sport Science,Chemistry,Computer Science,Chemical Engineering,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Agriculture & Forestry,Art, Performing Arts & Design,Architecture,Biological Sciences,Physics & Astronomy,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Business & Management",False,False,False,Germany,4460000000000.0,-0.304934576,52745.75571,5.946436677,84482267.0,3.068,77.765
1910,191,University of Massachusetts,54.9,1910,41.2,212,33.5,335,87.8,187,51.7,378,65.0,408,master_account,0,/world-university-rankings/university-massachusetts,528,United States,"63,338",13.2,14%,49:51:00,University of Massachusetts,"Law,Business & Management,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Computer Science,Medicine & Dentistry,Electrical & Electronic Engineering,Languages, Literature & Linguistics,Geography,Architecture,Economics & Econometrics,Chemistry,Geology, Environmental, Earth & Marine Sciences,Mechanical & Aerospace Engineering,Sport Science,History, Philosophy & Theology,Civil Engineering,Other Health,Sociology,Communication & Media Studies,Veterinary Science,Accounting & Finance,Mathematics & Statistics,Physics & Astronomy,General Engineering,Psychology,Archaeology,Biological Sciences,Agriculture & Forestry,Education,Chemical Engineering",False,False,False,United States,27400000000000.0,2.542700299,81695.18707,4.116338384,334914895.0,3.638,83.298
1920,192,University of Aberdeen,54.8,1920,30.7,487,34.1,321,89.8,153,47.5,470,95.9,32,master_account,0,/world-university-rankings/university-aberdeen,615,United Kingdom,"13,205",16.2,44%,58:42:00,University of Aberdeen,"Archaeology,Biological Sciences,Languages, Literature & Linguistics,Other Health,Physics & Astronomy,History, Philosophy & Theology,Chemical Engineering,Psychology,Business & Management,Law,Chemistry,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,General Engineering,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Sociology,Medicine & Dentistry,Geography,Sport Science,Accounting & Finance,Mathematics & Statistics,Civil Engineering,Art, Performing Arts & Design,Education,Computer Science",False,False,False,United Kingdom,3340000000000.0,0.104017849,48866.60396,6.793967068,68350000.0,4.025,84.642
1930,192,"University of California, Santa Cruz",54.8,1930,32.6,418,33.3,340,95.9,81,46.2,511,67.9,368,public,0,/world-university-rankings/university-california-santa-cruz,574,United States,"19,266",22.6,14%,47:53:00,"University of California, Santa Cruz","Economics & Econometrics,Biological Sciences,Business & Management,Agriculture & Forestry,Other Health,Physics & Astronomy,Communication & Media Studies,Art, Performing Arts & Design,Languages, Literature & Linguistics,Chemistry,Geology, Environmental, Earth & Marine Sciences,Archaeology,Psychology,Politics & International Studies (incl Development Studies),Education,General Engineering,Computer Science,Sociology,Electrical & Electronic Engineering,History, Philosophy & Theology,Mathematics & Statistics",False,False,False,United States,27400000000000.0,2.542700299,81695.18707,4.116338384,334914895.0,3.638,83.298
1940,194,Medical University of Vienna,54.6,1940,35.0,342,27.6,485,94.0,99,61.2,260,81.7,200,master_account,0,/world-university-rankings/medical-university-vienna,889,Austria,"7,274",8.4,33%,50:50:00,Medical University of Vienna,"Other Health,Medicine & Dentistry",False,False,False,Austria,516000000000.0,-0.828815089,56505.96828,7.81413417,9132383.0,5.264,59.53
1950,194,University of Miami,54.6,1950,48.4,122,33.5,336,81.0,298,48.3,451,60.2,476,private,0,/world-university-rankings/university-miami,636,United States,"17,009",10.8,16%,53:47:00,University of Miami,"Other Health,Physics & Astronomy,Business & Management,Computer Science,Chemistry,Accounting & Finance,Civil Engineering,Sociology,Languages, Literature & Linguistics,Biological Sciences,Education,General Engineering,Communication & Media Studies,Economics & Econometrics,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Medicine & Dentistry,Art, Performing Arts & Design,Chemical Engineering,Geography,Architecture,Mathematics & Statistics,Psychology,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Sport Science,Law",False,False,False,United States,27400000000000.0,2.542700299,81695.18707,4.116338384,334914895.0,3.638,83.298
1960,196,University of Erlangen-Nuremberg,54.5,1960,44.6,165,47.5,151,68.8,507,90.7,63,53.5,596,master_account,6,/world-university-rankings/university-erlangen-nuremberg,870,Germany,"30,303",43.4,13%,51:49:00,University of Erlangen-Nuremberg,"History, Philosophy & Theology,Archaeology,Mathematics & Statistics,Chemical Engineering,Sociology,Biological Sciences,Physics & Astronomy,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Law,Chemistry,Medicine & Dentistry,Geography,Sport Science,Other Health,Business & Management,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Education,Psychology,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Communication & Media Studies,Accounting & Finance,Computer Science,General Engineering",False,False,False,Germany,4460000000000.0,-0.304934576,52745.75571,5.946436677,84482267.0,3.068,77.765
