rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,record_type,member_level,url,nid,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited,disabled,apply_link,cta_button/link,cta_button/text
8300,801–1000,University of Brighton,29.8–33.9,8300,17.9,1356,15.6,982,53.0,793,37.6,1385,78.0,239,master_account,0,/world-university-rankings/university-brighton,131342,United Kingdom,"15,015",16.8,22%,60 : 40,University of Brighton,"Art, Performing Arts & Design,Electrical & Electronic Engineering,Communication & Media Studies,Architecture,Education,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,History, Philosophy & Theology,Biological Sciences,Psychology,Computer Science,Chemistry,Accounting & Finance,Languages, Literature & Linguistics,Sport Science,Law,Civil Engineering,Geography,Other Health,Mathematics & Statistics,Business & Management,General Engineering,Sociology",false,false,false,https://www.timeshighereducation.com/student/register-interest/siuk?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-12990754,,
8310,801–1000,Cairo University,29.8–33.9,8310,23.6,832,17.1,883,51.7,820,37.6,1387,38.7,991,master_account,0,/world-university-rankings/cairo-university,1006,Egypt,"224,216",36.8,4%,54 : 46,Cairo University,"Agriculture & Forestry,Medicine & Dentistry,Economics & Econometrics,Chemistry,Mechanical & Aerospace Engineering,General Engineering,Education,Communication & Media Studies,Physics & Astronomy,Languages, Literature & Linguistics,Business & Management,Geography,Architecture,Biological Sciences,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Archaeology,Chemical Engineering,Psychology,Veterinary Science,Geology, Environmental, Earth & Marine Sciences,Computer Science,Law,Civil Engineering,Sociology,Mathematics & Statistics,Electrical & Electronic Engineering,Other Health,Accounting & Finance",false,false,false,,,
8320,801–1000,University of Calabria,29.8–33.9,8320,17.1,1466,18.0,842,57.3,713,37.4,1461,37.9,1016,master_account,0,/world-university-rankings/university-calabria,589361,Italy,"19,788",23.2,3%,57 : 43,University of Calabria,"Languages, Literature & Linguistics,Chemistry,Other Health,Medicine & Dentistry,Sociology,Geography,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,History, Philosophy & Theology,Agriculture & Forestry,Law,Civil Engineering,Education,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Business & Management,Physics & Astronomy,Computer Science,Archaeology,Mathematics & Statistics,Accounting & Finance,Biological Sciences,Chemical Engineering,Art, Performing Arts & Design,General Engineering,Communication & Media Studies,Economics & Econometrics",false,false,false,,,
8330,801–1000,Chapman University,29.8–33.9,8330,38.5,272,13.9,1110,43.3,966,37.4,1462,40.6,942,private,0,/world-university-rankings/chapman-university,591932,United States,"9,332",12.8,8%,61 : 39,Chapman University,"Other Health,Business & Management,General Engineering,Chemistry,Law,Communication & Media Studies,Computer Science,Accounting & Finance,Psychology,Languages, Literature & Linguistics,Economics & Econometrics,Politics & International Studies (incl Development Studies),Agriculture & Forestry,Biological Sciences,Sociology,Physics & Astronomy,Art, Performing Arts & Design,History, Philosophy & Theology,Electrical & Electronic Engineering,Education,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences",false,false,false,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-90956803,,
8340,801–1000,Institute of Chemical Technology,29.8–33.9,8340,38.1,280,19.9,745,35.6,1099,42.5,720,15.1,1794,master_account,0,/world-university-rankings/institute-chemical-technology,623904,India,"2,550",17.2,0%,30 : 70,Institute of Chemical Technology,"Other Health,Biological Sciences,Physics & Astronomy,Chemical Engineering,Chemistry,Mathematics & Statistics,General Engineering",false,false,false,,,
8350,801–1000,Chengdu University,29.8–33.9,8350,16.5,1554,10.6,1435,67.5,528,42.7,703,22.4,1592,master_account,11,/world-university-rankings/chengdu-university,622899,China,"22,762",16.3,2%,59 : 41,Chengdu University,"Art, Performing Arts & Design,Architecture,General Engineering,Languages, Literature & Linguistics,Computer Science,Education,Electrical & Electronic Engineering,Law,Accounting & Finance,Biological Sciences,Sport Science,Civil Engineering,Communication & Media Studies,Medicine & Dentistry,Chemical Engineering,Psychology,Business & Management,Mathematics & Statistics,Economics & Econometrics",false,false,false,,,
8360,801–1000,"China University of Petroleum, Beijing",29.8–33.9,8360,24.4,789,25.2,552,38.4,1056,94.6,42,22.4,1593,master_account,0,/world-university-rankings/china-university-petroleum,131744,China,"17,001",17.4,4%,,"China University of Petroleum, Beijing","Mathematics & Statistics,Business & Management,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Chemistry,Chemical Engineering,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Physics & Astronomy,Economics & Econometrics,General Engineering,Computer Science,Accounting & Finance",false,false,false,,,
8370,801–1000,Chulalongkorn University,29.8–33.9,8370,31.5,459,25.5,538,34.5,1117,87.5,83,38.1,1010,master_account,6,/world-university-rankings/chulalongkorn-university,942,Thailand,"34,095",11.5,3%,58 : 42,Chulalongkorn University Chula Chulalongkorn,"Education,Civil Engineering,Medicine & Dentistry,Psychology,Other Health,Geography,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Computer Science,Architecture,Economics & Econometrics,Chemical Engineering,Physics & Astronomy,Mathematics & Statistics,Law,Languages, Literature & Linguistics,Biological Sciences,Sport Science,Business & Management,Veterinary Science,Chemistry,Sociology,General Engineering,Accounting & Finance,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Archaeology,Art, Performing Arts & Design,History, Philosophy & Theology,Agriculture & Forestry,Communication & Media Studies",false,false,false,,,
8380,801–1000,Clemson University,29.8–33.9,8380,25.2,726,21.4,686,41.7,993,40.9,851,43.7,839,public,0,/world-university-rankings/clemson-university,819,United States,"23,491",15.5,6%,49 : 51,Clemson University,"General Engineering,Biological Sciences,Sociology,History, Philosophy & Theology,Veterinary Science,Business & Management,Computer Science,Geography,Economics & Econometrics,Other Health,Politics & International Studies (incl Development Studies),Architecture,Agriculture & Forestry,Psychology,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Electrical & Electronic Engineering,Mathematics & Statistics,Education,Mechanical & Aerospace Engineering,Physics & Astronomy,Art, Performing Arts & Design,Chemical Engineering,Chemistry,Languages, Literature & Linguistics,Communication & Media Studies",false,false,false,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-19014504,,
8390,801–1000,University of Clermont Auvergne,29.8–33.9,8390,18.7,1248,16.3,935,48.9,870,38.2,1236,61.2,460,master_account,0,/world-university-rankings/university-clermont-auvergne,638036,France,"36,630",20.9,15%,57 : 43,University of Clermont Auvergne,"Accounting & Finance,Biological Sciences,Psychology,Architecture,Chemical Engineering,Communication & Media Studies,Other Health,Physics & Astronomy,General Engineering,Electrical & Electronic Engineering,Civil Engineering,Mathematics & Statistics,Sociology,Archaeology,Medicine & Dentistry,Business & Management,Education,Computer Science,Chemistry,History, Philosophy & Theology,Law,Mechanical & Aerospace Engineering,Sport Science,Veterinary Science,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Geography,Agriculture & Forestry,Economics & Econometrics,Art, Performing Arts & Design,Geology, Environmental, Earth & Marine Sciences",false,false,false,,,
